None,mdate,open_d,high_d,low_d,close_d,volume
0,1994-09-05,96.0,96.0,96.0,96.0,4.0
1,1994-09-06,102.5,102.5,102.5,102.5,1.0
2,1994-09-07,109.5,109.5,109.5,109.5,1.0
3,1994-09-08,117.0,117.0,117.0,117.0,2.0
4,1994-09-09,125.0,125.0,125.0,125.0,1.0
5,1994-09-10,133.5,133.5,133.5,133.5,37.0
6,1994-09-12,142.5,142.5,142.5,142.5,3855.0
7,1994-09-13,152.0,152.0,152.0,152.0,12541.0
8,1994-09-14,162.0,162.0,162.0,162.0,10301.0
9,1994-09-15,173.0,173.0,165.0,173.0,17770.0
10,1994-09-16,173.0,177.0,168.0,171.0,11219.0
11,1994-09-17,171.0,175.0,169.0,171.0,8139.0
12,1994-09-21,171.0,174.0,168.0,173.0,6979.0
13,1994-09-22,172.0,172.0,169.0,169.0,3401.0
14,1994-09-23,169.0,176.0,168.0,175.0,10990.0
15,1994-09-24,175.0,175.0,171.0,171.0,5901.0
16,1994-09-26,171.0,173.0,169.0,170.0,4347.0
17,1994-09-27,171.0,173.0,170.0,171.0,3684.0
18,1994-09-29,172.0,172.0,170.0,172.0,2647.0
19,1994-09-30,172.0,174.0,171.0,171.0,2153.0
20,1994-10-01,171.0,172.0,171.0,172.0,1660.0
21,1994-10-03,172.0,173.0,171.0,172.0,1560.0
22,1994-10-04,172.0,174.0,171.0,174.0,4080.0
23,1994-10-05,174.0,177.0,172.0,177.0,9254.0
24,1994-10-06,175.0,176.0,167.0,167.0,9664.0
25,1994-10-07,167.0,170.0,167.0,169.0,7008.0
26,1994-10-08,170.0,171.0,158.0,158.0,8929.0
27,1994-10-11,158.0,160.0,154.0,160.0,9352.0
28,1994-10-12,164.0,170.0,163.0,168.0,6870.0
29,1994-10-13,168.0,170.0,164.0,168.0,4800.0
30,1994-10-14,168.0,170.0,166.0,168.0,3415.0
31,1994-10-15,169.0,171.0,169.0,169.0,4489.0
32,1994-10-17,170.0,171.0,169.0,169.0,2975.0
33,1994-10-18,170.0,171.0,168.0,168.0,1605.0
34,1994-10-19,168.0,169.0,164.0,165.0,2699.0
35,1994-10-20,165.0,167.0,165.0,166.0,1287.0
36,1994-10-21,166.0,168.0,164.0,164.0,2350.0
37,1994-10-22,164.0,164.0,161.0,162.0,1325.0
38,1994-10-24,161.0,162.0,160.0,160.0,1400.0
39,1994-10-26,160.0,160.0,158.0,159.0,1658.0
40,1994-10-27,158.0,159.0,156.0,156.0,1458.0
41,1994-10-28,156.0,159.0,156.0,159.0,1975.0
42,1994-10-29,161.0,163.0,160.0,162.0,2622.0
43,1994-11-01,163.0,163.0,157.0,158.0,2689.0
44,1994-11-02,158.0,160.0,156.0,159.0,2113.0
45,1994-11-03,159.0,160.0,158.0,158.0,872.0
46,1994-11-04,158.0,161.0,157.0,160.0,1458.0
47,1994-11-05,160.0,161.0,159.0,159.0,638.0
48,1994-11-07,159.0,159.0,157.0,158.0,631.0
49,1994-11-08,158.0,159.0,157.0,158.0,398.0
50,1994-11-09,159.0,161.0,159.0,161.0,1370.0
51,1994-11-10,162.0,163.0,161.0,162.0,1236.0
52,1994-11-11,162.0,163.0,161.0,162.0,1255.0
53,1994-11-14,163.0,163.0,159.0,162.0,823.0
54,1994-11-15,160.0,162.0,159.0,162.0,919.0
55,1994-11-16,161.0,162.0,160.0,161.0,597.0
56,1994-11-17,162.0,162.0,160.0,160.0,567.0
57,1994-11-18,160.0,161.0,160.0,160.0,437.0
58,1994-11-19,160.0,162.0,160.0,162.0,416.0
59,1994-11-21,162.0,162.0,160.0,161.0,417.0
60,1994-11-22,161.0,161.0,160.0,160.0,803.0
